itemid;sku;description;category;daily_picks;volume_cm3;weight_kg;currentslot;optimalslot
1026;ELC-026;Bluetooth Keyboard;Electronics;15;3200.0;0.48;SLOT-0026;SLOT-0544
1027;ELC-027;Cable Tidy Clips 10ct;Electronics;52;80.0;0.05;SLOT-0027;SLOT-0262
1028;ELC-028;Ring Light 10 inch;Electronics;11;8500.0;1.2;SLOT-0028;SLOT-0549
1029;ELC-029;Smart Scale Bluetooth;Electronics;9;2100.0;1.15;SLOT-0029;SLOT-0550
1030;ELC-030;Ethernet Cable 5m;Electronics;34;280.0;0.22;SLOT-0030;SLOT-0504
1031;BEV-001;Still Water 12x500ml;Beverages;142;6000.0;6.0;SLOT-0751;SLOT-0001
1032;BEV-002;Cola 24-Can Pack;Beverages;128;8400.0;8.4;SLOT-0752;SLOT-0002
1033;BEV-003;Sparkling Water 12x500ml;Beverages;118;6000.0;6.2;SLOT-0753;SLOT-0004
1034;BEV-004;Coffee Pods 30ct;Beverages;104;2400.0;0.35;SLOT-0754;SLOT-0008
1035;BEV-005;Orange Juice 6x1L;Beverages;95;7200.0;6.6;SLOT-0755;SLOT-0011
1036;BEV-006;Energy Drink 12x250ml;Beverages;88;3600.0;3.0;SLOT-0756;SLOT-0017
1037;BEV-007;Lemonade 6x1L;Beverages;81;6600.0;6.3;SLOT-0757;SLOT-0026
1038;BEV-008;Apple Juice 6x1L;Beverages;76;7200.0;6.5;SLOT-0758;SLOT-0029
1039;BEV-009;Sports Drink 6x500ml;Beverages;78;3600.0;3.2;SLOT-0759;SLOT-0027
1040;BEV-010;Green Tea 24-Pack;Beverages;72;2800.0;2.4;SLOT-0760;SLOT-0034
1041;BEV-011;Oat Milk 6x1L;Beverages;68;7200.0;6.4;SLOT-0761;SLOT-0039
1042;BEV-012;Iced Coffee 4x250ml;Beverages;65;1600.0;1.1;SLOT-0762;SLOT-0045
1043;BEV-013;Coconut Water 6x330ml;Beverages;58;2400.0;2.2;SLOT-0763;SLOT-0253
1044;BEV-014;Herbal Tea 40ct;Beverages;55;600.0;0.12;SLOT-0764;SLOT-0258
1045;BEV-015;Cold Brew Coffee 4x250ml;Beverages;48;1200.0;1.0;SLOT-0765;SLOT-0268
1046;BEV-016;Almond Milk 6x1L;Beverages;52;7200.0;6.3;SLOT-0766;SLOT-0263
1047;BEV-017;Smoothie 4x250ml;Beverages;44;1200.0;1.2;SLOT-0767;SLOT-0279
1048;BEV-018;Protein Shake 6x500ml;Beverages;45;3600.0;3.6;SLOT-0768;SLOT-0275
1049;BEV-019;Vitamin Water 6x500ml;Beverages;39;3600.0;3.0;SLOT-0769;SLOT-0289
1050;BEV-020;Kombucha 6x330ml;Beverages;38;2400.0;2.0;SLOT-0770;SLOT-0291
1051;BEV-021;Cranberry Juice 6x1L;Beverages;42;7200.0;6.6;SLOT-0771;SLOT-0282
1052;BEV-022;Sparkling Juice 6x750ml;Beverages;35;4500.0;5.0;SLOT-0772;SLOT-0299
1053;BEV-023;Club Soda 12x330ml;Beverages;31;4800.0;4.2;SLOT-0773;SLOT-0512
1054;BEV-024;Tomato Juice 6x330ml;Beverages;29;2400.0;2.0;SLOT-0774;SLOT-0515
1055;BEV-025;Ginger Beer 12x330ml;Beverages;22;4800.0;4.0;SLOT-0775;SLOT-0529
1056;GRO-001;Pasta Fusilli 500g;Grocery;112;800.0;0.52;SLOT-0251;SLOT-0006
1057;GRO-002;Canned Tomatoes 400g;Grocery;96;500.0;0.42;SLOT-0252;SLOT-0010
1058;GRO-003;Peanut Butter 400g;Grocery;95;700.0;0.42;SLOT-0253;SLOT-0012
1059;GRO-004;Sourdough Bread 800g;Grocery;90;3500.0;0.85;SLOT-0254;SLOT-0015
1060;GRO-005;Basmati Rice 1kg;Grocery;88;1600.0;1.05;SLOT-0255;SLOT-0018
1061;GRO-006;Instant Ramen 5-Pack;Grocery;84;1500.0;0.45;SLOT-0256;SLOT-0023
1062;GRO-007;Olive Oil 500ml;Grocery;82;700.0;0.48;SLOT-0257;SLOT-0024
1063;GRO-008;Chicken Noodle Soup 400ml;Grocery;74;600.0;0.44;SLOT-0258;SLOT-0033
1064;GRO-009;Granola Bars 6ct;Grocery;72;600.0;0.24;SLOT-0259;SLOT-0035
1065;GRO-010;Rolled Oats 1kg;Grocery;68;2000.0;1.05;SLOT-0260;SLOT-0040
1066;GRO-011;Dark Chocolate 200g;Grocery;65;400.0;0.22;SLOT-0261;SLOT-0046
1067;GRO-012;Canned Tuna 6ct;Grocery;62;900.0;0.84;SLOT-0262;SLOT-0048
1068;GRO-013;Ketchup 500ml;Grocery;59;700.0;0.52;SLOT-0263;SLOT-0251
1069;GRO-014;Clear Honey 500g;Grocery;58;700.0;0.55;SLOT-0264;SLOT-0254
1070;GRO-015;Mixed Nuts 500g;Grocery;52;1200.0;0.52;SLOT-0265;SLOT-0264
1071;GRO-016;Mayonnaise 400g;Grocery;55;600.0;0.42;SLOT-0266;SLOT-0259
1072;GRO-017;Rice Crackers 200g;Grocery;48;1200.0;0.22;SLOT-0267;SLOT-0269
1073;GRO-018;Tomato Paste 200g;Grocery;48;300.0;0.22;SLOT-0268;SLOT-0270
1074;GRO-019;Soy Sauce 500ml;Grocery;44;700.0;0.58;SLOT-0269;SLOT-0280
1075;GRO-020;Flour Tortillas 8ct;Grocery;42;700.0;0.36;SLOT-0270;SLOT-0283
1076;GRO-021;Muesli 500g;Grocery;41;1800.0;0.52;SLOT-0271;SLOT-0288
1077;GRO-022;Coconut Milk 400ml;Grocery;38;600.0;0.44;SLOT-0272;SLOT-0292
1078;GRO-023;Vegetable Broth 1L;Grocery;36;1200.0;1.05;SLOT-0273;SLOT-0298
1079;GRO-024;Chickpeas 400g;Grocery;35;500.0;0.42;SLOT-0274;SLOT-0300
1080;GRO-025;Black Beans 400g;Grocery;32;500.0;0.42;SLOT-0275;SLOT-0506
1081;GRO-026;Chunky Salsa 400g;Grocery;31;600.0;0.44;SLOT-0276;SLOT-0513
1082;GRO-027;Pancake Mix 500g;Grocery;25;900.0;0.52;SLOT-0277;SLOT-0524
1083;GRO-028;Quinoa 500g;Grocery;28;900.0;0.52;SLOT-0278;SLOT-0517
1084;GRO-029;Trail Mix 300g;Grocery;22;800.0;0.32;SLOT-0279;SLOT-0530
1085;GRO-030;Maple Syrup 250ml;Grocery;19;400.0;0.36;SLOT-0280;SLOT-0538
1086;PCA-001;Whitening Toothpaste 125g;Personal Care;122;160.0;0.14;SLOT-0501;SLOT-0003
1087;PCA-002;Lip Balm SPF15 4.8g;Personal Care;115;30.0;0.008;SLOT-0502;SLOT-0005
1088;PCA-003;Deodorant Roll-On 50ml;Personal Care;108;150.0;0.06;SLOT-0503;SLOT-0007
1089;PCA-004;Moisturising Shampoo 400ml;Personal Care;98;600.0;0.44;SLOT-0504;SLOT-0009
1090;PCA-005;Refreshing Body Wash 400ml;Personal Care;92;600.0;0.44;SLOT-0505;SLOT-0014
1091;PCA-006;Moisturising Conditioner 400ml;Personal Care;85;600.0;0.44;SLOT-0506;SLOT-0021
1092;PCA-007;Invigorating Shower Gel 500ml;Personal Care;85;750.0;0.53;SLOT-0507;SLOT-0022
1093;PCA-008;Gentle Face Wash 150ml;Personal Care;78;280.0;0.18;SLOT-0508;SLOT-0028
1094;PCA-009;Razor Blades 4ct;Personal Care;75;120.0;0.06;SLOT-0509;SLOT-0030
1095;PCA-010;Intensive Hand Cream 100ml;Personal Care;72;160.0;0.11;SLOT-0510;SLOT-0036
1096;PCA-011;Day Moisturiser SPF15 50ml;Personal Care;68;120.0;0.08;SLOT-0511;SLOT-0041
1097;PCA-012;Body Lotion 400ml;Personal Care;68;600.0;0.44;SLOT-0512;SLOT-0042
1098;PCA-013;Sunscreen SPF50 150ml;Personal Care;62;280.0;0.18;SLOT-0513;SLOT-0049
1099;PCA-014;Cotton Rounds 100ct;Personal Care;62;600.0;0.08;SLOT-0514;SLOT-0050
1100;PCA-015;Cotton Buds 200ct;Personal Care;58;400.0;0.04;SLOT-0515;SLOT-0255
1101;PCA-016;Dry Shampoo 200ml;Personal Care;55;320.0;0.16;SLOT-0516;SLOT-0260
1102;PCA-017;Dental Floss 50m;Personal Care;52;60.0;0.04;SLOT-0517;SLOT-0265
1103;PCA-018;Facial Toner 200ml;Personal Care;48;350.0;0.22;SLOT-0518;SLOT-0271
1104;PCA-019;Shaving Gel 200ml;Personal Care;48;400.0;0.24;SLOT-0519;SLOT-0272
1105;PCA-020;Micellar Water 400ml;Personal Care;42;550.0;0.42;SLOT-0520;SLOT-0284
1106;PCA-021;BB Cream SPF20 30ml;Personal Care;38;80.0;0.04;SLOT-0521;SLOT-0293
1107;PCA-022;Hair Mask 200ml;Personal Care;35;350.0;0.22;SLOT-0522;SLOT-0501
1108;PCA-023;Eye Cream 30ml;Personal Care;32;80.0;0.04;SLOT-0523;SLOT-0507
1109;PCA-024;Clay Face Mask 75ml;Personal Care;28;120.0;0.09;SLOT-0524;SLOT-0518
1110;PCA-025;Vitamin C Serum 30ml;Personal Care;25;80.0;0.04;SLOT-0525;SLOT-0525
1111;PCA-026;Nail File Emery 5ct;Personal Care;22;50.0;0.02;SLOT-0526;SLOT-0531
1112;PCA-027;Setting Spray 100ml;Personal Care;22;180.0;0.12;SLOT-0527;SLOT-0532
1113;PCA-028;Brow Gel 5ml;Personal Care;18;30.0;0.008;SLOT-0528;SLOT-0540
1114;PCA-029;Electric Toothbrush Heads 4ct;Personal Care;45;200.0;0.1;SLOT-0529;SLOT-0276
1115;PCA-030;Tinted Sunscreen 30ml;Personal Care;15;80.0;0.05;SLOT-0530;SLOT-0545
1116;PET-001;Wet Cat Food 12x85g;Pet Supplies;95;1200.0;1.2;SLOT-0031;SLOT-0013
1117;PET-002;Dry Dog Food 2kg;Pet Supplies;90;4500.0;2.1;SLOT-0032;SLOT-0016
1118;PET-003;Dry Cat Food 2kg;Pet Supplies;88;4500.0;2.1;SLOT-0033;SLOT-0019
1119;PET-004;Wet Dog Food 12x400g;Pet Supplies;82;5400.0;5.0;SLOT-0034;SLOT-0025
1120;PET-005;Dog Training Biscuits 500g;Pet Supplies;75;800.0;0.52;SLOT-0035;SLOT-0031
1121;PET-006;Clumping Cat Litter 5kg;Pet Supplies;72;6500.0;5.2;SLOT-0036;SLOT-0037
1122;PET-007;Soft Dog Treats 200g;Pet Supplies;68;400.0;0.22;SLOT-0037;SLOT-0043
1123;PET-008;Crunchy Cat Treats 100g;Pet Supplies;58;300.0;0.12;SLOT-0038;SLOT-0256
1124;PET-009;Pet Hair Removal Roller;Pet Supplies;55;250.0;0.12;SLOT-0039;SLOT-0261
1125;PET-010;Dental Chews 20ct;Pet Supplies;48;600.0;0.3;SLOT-0040;SLOT-0273
1126;PET-011;Puppy Training Pads 50ct;Pet Supplies;52;3500.0;0.8;SLOT-0041;SLOT-0266
1127;PET-012;Dog Potty Training Pads 40ct;Pet Supplies;44;3000.0;0.75;SLOT-0042;SLOT-0281
1128;PET-013;Pet Shampoo 400ml;Pet Supplies;45;600.0;0.44;SLOT-0043;SLOT-0277
1129;PET-014;Rubber Chew Toy;Pet Supplies;42;350.0;0.18;SLOT-0044;SLOT-0285
1130;PET-015;Cat Scratching Post 45cm;Pet Supplies;42;6000.0;1.5;SLOT-0045;SLOT-0286
1131;PET-016;Dog Collar Adjustable;Pet Supplies;38;150.0;0.08;SLOT-0046;SLOT-0294
1132;PET-017;Anti-Flea Spot Treatment 3ct;Pet Supplies;38;60.0;0.03;SLOT-0047;SLOT-0295
1133;PET-018;Slicker Pet Brush;Pet Supplies;38;200.0;0.15;SLOT-0048;SLOT-0296
1134;PET-019;Dog Lead 1.5m;Pet Supplies;35;300.0;0.18;SLOT-0049;SLOT-0502
1135;PET-020;Flea and Tick Collar;Pet Supplies;35;100.0;0.04;SLOT-0050;SLOT-0503
1136;PET-021;Wild Bird Seed Mix 1kg;Pet Supplies;28;1500.0;1.05;SLOT-0051;SLOT-0519
1137;PET-022;Dog Rope Ball Toy;Pet Supplies;28;400.0;0.22;SLOT-0052;SLOT-0520
1138;PET-023;Cat Food Bowl Set;Pet Supplies;28;600.0;0.35;SLOT-0053;SLOT-0521
1139;PET-024;Stainless Pet Water Bowl;Pet Supplies;32;800.0;0.35;SLOT-0054;SLOT-0508
1140;PET-025;Cat Toy Mouse 3ct;Pet Supplies;32;200.0;0.05;SLOT-0055;SLOT-0509
1141;PET-026;Rope Tug Dog Toy;Pet Supplies;32;500.0;0.22;SLOT-0056;SLOT-0510
1142;PET-027;Catnip Kicker Toy;Pet Supplies;25;300.0;0.08;SLOT-0057;SLOT-0526
1143;PET-028;Tick Remover Tool;Pet Supplies;25;50.0;0.02;SLOT-0058;SLOT-0527
1144;PET-029;Catnip Spray 100ml;Pet Supplies;20;180.0;0.12;SLOT-0059;SLOT-0536
1145;PET-030;Tropical Fish Food 100g;Pet Supplies;22;200.0;0.12;SLOT-0060;SLOT-0533
1146;PET-031;Aquarium Gravel 1kg;Pet Supplies;22;1000.0;1.05;SLOT-0061;SLOT-0534
1147;PET-032;Small Animal Bedding 1L;Pet Supplies;18;1800.0;0.2;SLOT-0062;SLOT-0541
1148;PET-033;Bird Calcium Perch;Pet Supplies;12;350.0;0.25;SLOT-0063;SLOT-0548
1149;PET-034;Cat Play Tunnel;Pet Supplies;18;8000.0;0.45;SLOT-0064;SLOT-0542
1150;PET-035;Dog Bandana 3ct;Pet Supplies;15;200.0;0.08;SLOT-0065;SLOT-0546
